1234,135977,4.0
1234,146876,4.0
1234,140604,4.0
1234,141978,4.0
1234,145851,4.0
1234,137916,5.0
1234,139227,3.0
1234,142686,3.0
1234,142913,5.0
915,140374,5.0
915,143778,5.0
915,142129,5.0
915,142047,5.0
915,135534,5.0
915,137763,5.0
915,139929,5.0
915,146089,4.0
915,140661,5.0
915,139845,5.0
915,140633,5.0
915,144502,5.0
915,137745,5.0
915,142001,5.0
915,138641,3.0
915,146827,5.0
915,144153,5.0
915,135369,5.0
915,142260,5.0
915,140929,5.0
915,140457,5.0
915,145985,5.0
915,141830,4.0
915,138509,5.0
915,146400,5.0
915,147554,5.0
915,142094,5.0
915,140905,5.0
915,144436,5.0
915,135778,5.0
915,140738,4.0
915,144669,5.0
915,142439,5.0
915,137252,5.0
915,147027,5.0
915,139127,5.0
915,141692,5.0
915,136818,5.0
782,146234,5.0
782,145561,5.0
782,147897,4.0
782,145384,5.0
782,141261,5.0
88,145414,5.0
88,136427,5.0
88,144889,5.0
88,145202,5.0
88,135124,4.0
88,146370,5.0
88,147006,5.0
88,137795,5.0
88,141782,4.0
88,143579,5.0
88,147885,5.0
88,144129,5.0
1300,140660,4.0
1300,145178,3.0
1300,141918,5.0
1300,138617,5.0
1300,137190,5.0
1300,147939,4.0
1300,143481,4.0
1300,139411,4.0
1300,142880,4.0
1300,138784,4.0
1300,140236,5.0
1300,137985,5.0
1300,146908,4.0
1300,143831,5.0
1300,145292,4.0
1300,134856,5.0
1300,140226,5.0
1300,137978,5.0
1300,146287,4.0
1300,147340,5.0
1300,144374,4.0
1300,135541,5.0
1300,135951,5.0
1300,137022,5.0
107,138063,5.0
107,141498,5.0
107,140425,5.0
107,137872,5.0
107,141471,5.0
107,135621,5.0
107,139558,5.0
107,135903,5.0
107,139063,5.0
107,138700,5.0
107,139651,3.0
107,145109,4.0
107,137235,5.0
107,146136,5.0
107,147668,5.0
107,138657,5.0
107,139017,5.0
107,137864,5.0
107,139183,5.0
107,135189,5.0
107,138712,5.0
107,138926,5.0
107,141372,5.0
107,145571,4.0
766,145876,5.0
766,146918,5.0
766,145404,4.0
766,139325,5.0
766,140544,4.0
766,146342,5.0
766,135744,2.0
766,144969,2.0
766,134961,5.0
766,141187,4.0
766,144887,5.0
766,139582,4.0
